n_estimators,learning_rate,max_depth,reg_alpha,reg_lambda,objective,tree_method,enable_categorical,RMSE
500,0.03,8,1,0,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,8,1,1,reg:squarederror,hist,True,64749.975427625744
500,0.03,8,1,1,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,8,1,1,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,8,1,2,reg:squarederror,hist,True,61675.667223094584
500,0.03,8,1,2,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,8,1,2,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,8,1,3,reg:squarederror,hist,True,63030.90399591619
500,0.03,8,1,3,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,8,1,3,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,8,1,4,reg:squarederror,hist,True,63502.48440446296
500,0.03,8,1,4,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,8,1,4,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,8,2,0,reg:squarederror,hist,True,67823.217732993
500,0.03,8,2,0,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,8,2,0,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,8,2,1,reg:squarederror,hist,True,64046.10818494625
500,0.03,8,2,1,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,8,2,1,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,8,2,2,reg:squarederror,hist,True,61642.55209846324
500,0.03,8,2,2,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,8,2,2,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,8,2,3,reg:squarederror,hist,True,63227.72890395992
500,0.03,8,2,3,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,8,2,3,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,8,2,4,reg:squarederror,hist,True,63727.58529729883
500,0.03,8,2,4,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,8,2,4,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,10,0,0,reg:squarederror,hist,True,76691.5335211674
500,0.03,10,0,0,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,10,0,0,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,10,0,1,reg:squarederror,hist,True,69031.33362489252
500,0.03,10,0,1,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,10,0,1,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,10,0,2,reg:squarederror,hist,True,65975.13723670151
500,0.03,10,0,2,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,10,0,2,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,10,0,3,reg:squarederror,hist,True,66885.84548998445
500,0.03,10,0,3,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,10,0,3,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,10,0,4,reg:squarederror,hist,True,68514.58248906067
500,0.03,10,0,4,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,10,0,4,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,10,1,0,reg:squarederror,hist,True,76540.44681427159
500,0.03,10,1,0,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,10,1,0,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,10,1,1,reg:squarederror,hist,True,68898.4093238472
500,0.03,10,1,1,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,10,1,1,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,10,1,2,reg:squarederror,hist,True,66281.41436801528
500,0.03,10,1,2,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,10,1,2,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,10,1,3,reg:squarederror,hist,True,66930.63502994417
500,0.03,10,1,3,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,10,1,3,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,10,1,4,reg:squarederror,hist,True,68382.1718438922
500,0.03,10,1,4,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,10,1,4,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,10,2,0,reg:squarederror,hist,True,76736.530614809
500,0.03,10,2,0,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,10,2,0,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,10,2,1,reg:squarederror,hist,True,69329.09007547928
500,0.03,10,2,1,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,10,2,1,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,10,2,2,reg:squarederror,hist,True,66102.03026891689
500,0.03,10,2,2,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,10,2,2,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,10,2,3,reg:squarederror,hist,True,66824.41490842086
500,0.03,10,2,3,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,10,2,3,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,10,2,4,reg:squarederror,hist,True,68502.24422119945
500,0.03,10,2,4,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,10,2,4,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,12,0,0,reg:squarederror,hist,True,85117.42643716098
500,0.03,12,0,0,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,12,0,0,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,12,0,1,reg:squarederror,hist,True,71528.52415892479
500,0.03,12,0,1,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,12,0,1,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,12,0,2,reg:squarederror,hist,True,70244.55479195519
500,0.03,12,0,2,reg:pseudohubererror,hist,True,4689940556.248134
500,0.03,12,0,2,reg:squaredlogerror,hist,True,575992.0538345638
500,0.03,12,0,3,reg:squarederror,hist,True,69549.17579414968
