n_estimators,learning_rate,max_depth,reg_alpha,reg_lambda,objective,tree_method,enable_categorical,RMSE
200,0.02,5,0,4,reg:squarederror,hist,True,80742.62517942725
200,0.02,5,0,4,reg:pseudohubererror,hist,True,4689940556.248134
200,0.02,5,0,4,reg:squaredlogerror,hist,True,575992.0538345638
200,0.02,5,1,0,reg:squarederror,hist,True,77621.56303310407
200,0.02,5,1,0,reg:pseudohubererror,hist,True,4689940556.248134
200,0.02,5,1,0,reg:squaredlogerror,hist,True,575992.0538345638
200,0.02,5,1,1,reg:squarederror,hist,True,78377.94456708332
200,0.02,5,1,1,reg:pseudohubererror,hist,True,4689940556.248134
200,0.02,5,1,1,reg:squaredlogerror,hist,True,575992.0538345638
200,0.02,5,1,2,reg:squarederror,hist,True,78668.57800846049
200,0.02,5,1,2,reg:pseudohubererror,hist,True,4689940556.248134
200,0.02,5,1,2,reg:squaredlogerror,hist,True,575992.0538345638
200,0.02,5,1,3,reg:squarederror,hist,True,79803.95801865318
200,0.02,5,1,3,reg:pseudohubererror,hist,True,4689940556.248134
200,0.02,5,1,3,reg:squaredlogerror,hist,True,575992.0538345638
200,0.02,5,1,4,reg:squarederror,hist,True,80742.6294041111
200,0.02,5,1,4,reg:pseudohubererror,hist,True,4689940556.248134
200,0.02,5,1,4,reg:squaredlogerror,hist,True,575992.0538345638
200,0.02,5,2,0,reg:squarederror,hist,True,77487.91917183738
200,0.02,5,2,0,reg:pseudohubererror,hist,True,4689940556.248134
200,0.02,5,2,0,reg:squaredlogerror,hist,True,575992.0538345638
200,0.02,5,2,1,reg:squarederror,hist,True,77912.89241095283
